"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-03-15 ~ 2025-04-14"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"851","경기도 남양주시 진접읍 장현리","339","0339","0000","대호","44.7300","28.8900","202504","11","6,000","2","개인","개인","1991","장현천로24번길 14-3","-","중개거래","경기 남양주시","-"
"852","경기도 성남시 수정구 단대동","15-1","0015","0001","덕원빌라(13동)","40.0800","10.2400","202504","11","15,500","-1","개인","법인","1994","논골로67번길 5","-","직거래","-","25.04.16"
"853","서울특별시 중랑구 상봉동","102-3","0102","0003","월디움상봉","45.0810","11.4600","202504","11","48,000","13","개인","개인","2023","면목로92라길 2","-","직거래","-","-"
"854","경기도 남양주시 화도읍 마석우리","315-2","0315","0002","도신빌라(가,나동)","40.3200","31.2080","202504","11","9,500","3","개인","개인","1994","마석로17번안길 5-10","-","중개거래","경기 남양주시","25.04.18"
"855","경상남도 창원시 진해구 석동","659","0659","0000","벚꽃그린빌4단지","59.8300","90.1500","202504","11","17,500","4","개인","개인","2003","석동로 80","-","직거래","-","25.04.18"
"856","서울특별시 성동구 성수동2가","299-178","0299","0178","성수리치빌디동","28.6300","15.0700","202504","11","32,500","3","개인","개인","2016","광나루로2가길 11","-","중개거래","서울 성동구","-"
"857","경기도 남양주시 화도읍 창현리","637-2","0637","0002","천마(가,나,다동)","69.5000","71.2000","202504","11","9,875","3","개인","개인","1987","수레로 1171-29","-","직거래","-","25.04.11"
"858","경기도 남양주시 진건읍 진관리","129-5","0129","0005","지용빌라5동","36.7200","32.7400","202504","11","8,100","3","개인","개인","1990","사릉로441번길 28","-","중개거래","경기 남양주시","25.04.21"
"859","서울특별시 중랑구 중화동","309-11","0309","0011","(309-11)","32.1400","23.3651","202504","11","41,500","3","개인","개인","2021","봉화산로3길 62-7","-","중개거래","서울 중랑구","-"
"860","서울특별시 중랑구 중화동","307-53","0307","0053","대원파크빌","27.2700","18.2700","202504","11","33,500","4","개인","개인","2022","중랑역로 122-20","-","직거래","-","-"
"861","서울특별시 송파구 방이동","61-4","0061","0004","(61-4)","53.4500","28.8900","202504","11","37,000","4","개인","개인","2010","올림픽로32길 21-22","-","중개거래","서울 송파구","-"
"862","서울특별시 송파구 방이동","120","0120","0000","대건빌라","46.9200","18.9000","202504","11","28,700","1","개인","개인","1993","백제고분로48나길 7-13","-","중개거래","서울 강남구","-"
"863","경상남도 창원시 마산회원구 양덕동","51-31","0051","0031","금천빌딩","35.8460","13.3225","202504","11","5,000","5","개인","개인","2013","양덕로 120","-","직거래","-","25.04.14"
"864","서울특별시 송파구 문정동","109-7","0109","0007","그랑밸리","46.5200","27.0000","202504","11","59,000","2","개인","개인","2021","새말로19길 11","-","직거래","-","-"
"865","서울특별시 송파구 문정동","88-4","0088","0004","TheVILLEⅠ","27.4300","16.3800","202504","11","30,000","5","개인","개인","2017","새말로11길 9","-","중개거래","서울 송파구","-"
"866","경기도 남양주시 조안면 삼봉리","176-8","0176","0008","아트빌","62.9900","72.2000","202504","11","15,000","4","개인","개인","2014","북한강로873번길 37-1","-","직거래","-","25.04.18"
"867","서울특별시 중랑구 망우동","524-12","0524","0012","해피리움","27.2300","16.7575","202504","11","24,700","2","개인","개인","2019","겸재로61길 41","-","중개거래","서울 중랑구","-"
"868","서울특별시 송파구 가락동","5-1","0005","0001","우신빌라","84.4400","63.4750","202504","11","63,500","3","개인","개인","1989","오금로34길 8-3","-","중개거래","서울 송파구","-"
"869","서울특별시 송파구 석촌동","172","0172","0000","(172-0)","45.8000","30.3000","202504","11","35,350","1","개인","개인","1986","백제고분로37가길 8","-","중개거래","서울 송파구","25.04.30"
"870","서울특별시 송파구 송파동","156-2","0156","0002","송파민속빌라","54.5700","24.2600","202504","11","30,000","4","개인","개인","1992","송이로8길 3","-","중개거래","서울 송파구","25.04.25"
"871","서울특별시 송파구 송파동","136-1","0136","0001","회림빌라","50.7600","21.1700","202504","11","29,900","3","개인","개인","1993","오금로20길 4-11","-","중개거래","서울 송파구","25.04.18"
"872","경기도 시흥시 대야동","475-5","0475","0005","힐링하우스","52.3000","31.6960","202504","11","21,500","2","개인","개인","2016","대야로13번길 15-1","-","중개거래","경기 시흥시","-"
"873","경상북도 울진군 근남면 노음리","301","0301","0000","삼삼빌라","69.3900","46.3400","202504","11","6,400","3","개인","개인","1994","노음5길 6","-","중개거래","경북 울진군","25.04.18"
"874","경상북도 예천군 예천읍 청복리","407-3","0407","0003","청복에셀빌리지","59.8930","79.5620","202504","11","6,400","3","개인","법인","2018","청복골마길 13","-","직거래","-","-"
"875","인천광역시 서구 마전동","1002-8","1002","0008","서경프라임","59.3500","26.3200","202504","11","15,000","5","개인","개인","2012","완정로64번길 50","-","중개거래","인천 서구","25.04.28"
"876","경상북도 영덕군 강구면 화전리","5-15","0005","0015","공영빌라","59.6200","101.1327","202504","11","6,650","4","개인","개인","1996","나비산길 93","-","직거래","-","25.04.22"
"877","서울특별시 강남구 논현동","188-6","0188","0006","(188-6)","14.7800","9.5200","202504","11","18,600","3","개인","개인","2013","강남대로120길 74","-","중개거래","서울 서초구","-"
"878","경기도 군포시 당정동","983-4","0983","0004","뷰티하우스7동","74.3900","52.7300","202504","11","22,200","5","개인","개인","2003","한세로70번길 15","-","중개거래","경기 군포시","-"
"879","서울특별시 성북구 종암동","79-257","0079","0257","미래프라임","38.0900","26.3800","202504","11","30,500","4","개인","개인","2014","종암로21가길 16","-","직거래","-","25.04.17"
"880","인천광역시 서구 가좌동","146-30","0146","0030","송림빌라(202동)","35.4500","22.7650","202504","11","8,500","3","개인","개인","1992","가정로97번길 6-8","-","중개거래","서울 중랑구, 인천 서구","-"
"881","서울특별시 서초구 방배동","12-37","0012","0037","힐뷰","68.6200","47.2100","202504","11","107,700","5","개인","개인","2013","사평대로6길 72-5","-","중개거래","서울 서초구","25.05.02"
"882","경기도 하남시 초이동","618","0618","0000","샤인허브빌","46.9700","39.1100","202504","11","40,700","4","개인","개인","2013","천호대로1358번길 134-35","-","중개거래","서울 강동구","-"
"883","경기도 용인시 처인구 삼가동","137-59","0137","0059","센트레빌109","63.0400","45.1250","202504","11","14,500","5","개인","개인","2016","삼가로 27-23","-","중개거래","경기 용인시 처인구","-"
"884","서울특별시 관악구 남현동","1082-16","1082","0016","화목빌리지(1082-16)","51.7500","34.4218","202504","11","31,000","2","개인","개인","2013","남현8길 8-6","-","중개거래","서울 관악구","-"
"885","서울특별시 성북구 장위동","66-233","0066","0233","퀸즈빌6차","22.1200","18.0000","202504","11","40,000","5","개인","개인","2021","화랑로33가길 40","-","중개거래","서울 성북구","-"
"886","서울특별시 관악구 신림동","697-20","0697","0020","진성빌라","24.8900","16.4500","202504","11","8,200","-1","개인","법인","1992","난곡로15길 16","-","중개거래","서울 관악구","-"
"887","경기도 용인시 처인구 유방동","311-11","0311","0011","미래센스빌(6동)","57.6300","46.7500","202504","11","12,300","4","개인","개인","2000","백옥대로1380번길 5-12","-","중개거래","경기 용인시 처인구","25.04.25"
"888","경기도 용인시 처인구 마평동","939-1","0939","0001","월드드림빌(102동)","75.0600","43.5000","202504","11","12,500","5","개인","개인","2003","금령로187번길 16-3","-","중개거래","경기 용인시 처인구","-"
"889","경기도 용인시 처인구 포곡읍 둔전리","155-36","0155","0036","우진맨션(103동)","48.3300","33.1667","202504","11","9,000","3","개인","개인","2002","포곡로118번길 5-3","-","중개거래","경기 용인시 처인구","25.04.21"
"890","서울특별시 관악구 봉천동","180-243","0180","0243","더좋은집","37.6300","30.3100","202504","11","29,500","2","개인","개인","2020","인헌길 161","-","중개거래","서울 관악구","25.04.14"
"891","서울특별시 관악구 봉천동","41-805","0041","0805","다올하우스","29.8800","19.9200","202504","11","35,000","3","개인","개인","2017","은천로35가길 22","-","직거래","-","-"
"892","서울특별시 관악구 봉천동","1507","1507","0000","우리하연빌","67.3700","32.7300","202504","11","55,000","1","개인","개인","2003","보라매로6길 27-1","-","중개거래","서울 관악구","-"
"893","대전광역시 서구 용문동","219-25","0219","0025","theh용문","15.7257","12.4637","202504","11","13,900","2","개인","개인","2022","도솔로499번길 14","-","중개거래","대전 유성구","-"
"894","인천광역시 서구 가좌동","146-30","0146","0030","송림빌라(202동)","35.4500","22.7650","202504","11","8,500","3","개인","개인","1992","가정로97번길 6-8","-","중개거래","인천 서구","-"
"895","서울특별시 강북구 미아동","224-11","0224","0011","제이하우스타운","82.0100","32.1250","202504","11","37,000","4","개인","개인","2012","솔매로41길 13","-","중개거래","서울 강북구","-"
"896","경상북도 구미시 형곡동","121-2","0121","0002","산장빌라","74.9700","65.6600","202504","11","4,900","1","개인","개인","1989","형곡로8길 28-46","-","중개거래","경북 구미시","-"
"897","강원특별자치도 동해시 발한동","118-1","0118","0001","성남AB","58.3200","54.4000","202504","11","4,500","3","개인","개인","1985","향로복개로 7-9","-","중개거래","강원 동해시","25.04.17"
"898","경기도 용인시 처인구 이동읍 천리","149-1","0149","0001","경일국민주택","36.0000","44.0400","202504","11","5,800","2","개인","개인","1987","백옥대로 570","-","중개거래","경기 용인시 처인구","-"
"899","서울특별시 동작구 사당동","175-28","0175","0028","파라브","54.1800","33.3600","202504","11","43,400","4","개인","개인","2020","사당로23바길 16","-","중개거래","서울 동작구","-"
"900","서울특별시 동작구 사당동","1015-12","1015","0012","오렌지빌","32.7800","19.9500","202504","11","53,700","3","개인","개인","2003","동작대로13길 38-1","-","중개거래","서울 동작구","-"
"901","서울특별시 동작구 사당동","316-230","0316","0230","동미빌라A","47.7000","23.7400","202504","11","29,500","1","개인","개인","1993","사당로20바길 31","-","중개거래","서울 관악구","-"
"902","서울특별시 동작구 사당동","141-233","0141","0233","미성B","35.7600","24.9000","202504","11","44,520","2","기타","개인","1987","사당로29다길 12","-","직거래","-","-"
"903","강원특별자치도 동해시 단봉동","96-3","0096","0003","엘시시움101동","68.2700","51.5000","202504","11","20,000","5","개인","개인","2017","구미택지1길 49-1","-","중개거래","강원 동해시","25.04.25"
"904","경기도 용인시 처인구 양지면 남곡리","126-1","0126","0001","파인힐스104동","58.6600","50.6250","202504","11","13,500","3","개인","개인","2011","남평로26번길 8","-","중개거래","경기 용인시 처인구","-"
"905","경기도 용인시 기흥구 보라동","392-13","0392","0013","토미하우스D,E","51.2600","37.8600","202504","11","16,260","4","개인","법인","2022","용구대로1890번길 6-2","-","직거래","-","-"
"906","경기도 용인시 수지구 죽전동","1003-7","1003","0007","죽전리베니움(301동,302동)","32.1400","27.6100","202504","11","23,500","2","개인","개인","2015","대지로3번길 31-3","-","중개거래","경기 용인시 수지구","-"
"907","서울특별시 동작구 상도동","361-43","0361","0043","선진파크빌라","64.1100","38.3990","202504","11","32,000","1","개인","개인","1996","상도로15마길 14","-","중개거래","서울 동작구","-"
"908","경기도 파주시 금촌동","934-15","0934","0015","삼성로얄빌가,나동","66.7050","43.3125","202504","11","13,500","5","개인","개인","2009","동산3길 13","-","중개거래","경기 파주시","-"
"909","인천광역시 서구 석남동","516-10","0516","0010","아네트빌2동","50.2900","23.6200","202504","11","10,000","3","개인","개인","2009","염곡로260번길 27","-","중개거래","인천 서구","25.04.18"
"910","서울특별시 영등포구 신길동","458-8","0458","0008","디자인하우스2","41.4400","23.8000","202504","11","34,200","3","개인","개인","2016","여의대방로47길 25-6","-","중개거래","서울 동작구","-"
"911","경상북도 포항시 남구 대송면 제내리","1121","1121","0000","대송국민주택","45.8100","50.6300","202504","11","1,400","3","개인","개인","1986","제내길44번길 1","-","직거래","-","25.04.11"
"912","경기도 이천시 창전동","441-44","0441","0044","금성파크빌라(다)","47.9200","30.0000","202504","11","3,200","-1","개인","개인","1990","향교로79번길 30","-","중개거래","경기 이천시","25.04.30"
"913","경기도 이천시 사음동","117-1","0117","0001","골든캐슬빌","74.0900","136.3750","202504","11","29,800","3","개인","개인","2023","양진로24번길 79-22","-","직거래","-","-"
"914","경기도 이천시 부발읍 가좌리","224-1","0224","0001","신호타운","99.8600","103.0000","202504","11","8,000","3","개인","개인","1999","가좌로103번길 93","-","중개거래","경기 이천시","-"
"915","경기도 이천시 백사면 모전리","32-33","0032","0033","부일빌라(32-33)","34.9500","26.4770","202504","11","4,380","3","개인","개인","1993","이여로100번길 17-8","-","중개거래","경기 이천시","25.04.14"
"916","서울특별시 금천구 시흥동","818-21","0818","0021","신영아트빌","58.1200","35.0100","202504","11","34,500","3","개인","개인","2013","독산로24길 29","-","중개거래","서울 금천구","-"
"917","서울특별시 도봉구 쌍문동","309-32","0309","0032","대성스카이빌","37.6000","21.4600","202504","11","11,500","5","개인","개인","2008","노해로41가길 11","-","중개거래","서울 강북구","25.05.09"
"918","서울특별시 금천구 독산동","920-6","0920","0006","프라우드22","24.2900","15.6381","202504","11","24,000","3","개인","개인","2022","독산로70다길 56","-","중개거래","서울 금천구","25.04.18"
"919","경기도 김포시 운양동","1288-1","1288","0001","한신더휴테라스12(1201-1219동)","84.9603","108.4884","202504","11","55,000","1","개인","개인","2017","김포한강11로438번길 123","-","중개거래","경기 김포시","-"
"920","경기도 김포시 통진읍 서암리","840-1","0840","0001","제리안2차(201동202동)","57.9900","90.4000","202504","11","13,000","-1","개인","법인","2021","조강로 130","-","중개거래","경기 김포시","25.04.18"
"921","경기도 의정부시 호원동","444-7","0444","0007","진영아트빌","61.5100","29.6625","202504","11","12,500","5","개인","개인","2003","안말로85번길 50","-","중개거래","경기 의정부시","-"
"922","서울특별시 도봉구 방학동","313-41","0313","0041","2차광명그린빌라B동","56.1600","27.4200","202504","11","12,700","3","개인","개인","1994","시루봉로12길 16","20250508","중개거래","서울 도봉구","-"
"923","서울특별시 도봉구 방학동","313-41","0313","0041","2차광명그린빌라B동","56.1600","27.4200","202504","11","12,700","3","개인","개인","1994","시루봉로12길 16","-","중개거래","서울 도봉구","-"
"924","서울특별시 도봉구 방학동","601-21","0601","0021","청운하이츠빌라","37.8300","17.3500","202504","11","9,000","4","개인","개인","1994","시루봉로 241-10","20250418","중개거래","서울 도봉구","-"
"925","경기도 김포시 통진읍 가현리","43-2","0043","0002","태일포로미101동-111동","59.0700","80.5706","202504","11","12,900","3","개인","개인","2006","흥신로 291","-","중개거래","경기 김포시","-"
"926","서울특별시 구로구 온수동","45-31","0045","0031","대흥빌라","73.2000","64.0000","202504","11","60,000","1","개인","개인","1985","경인로3길 97","-","중개거래","서울 구로구","-"
"927","서울특별시 구로구 궁동","97-9","0097","0009","정선마을1차","56.6100","33.6820","202504","11","32,250","3","개인","개인","2015","오리로21가길 16","-","중개거래","서울 구로구","-"
"928","서울특별시 구로구 궁동","280-13","0280","0013","둥근빌라(280-13)","41.7000","24.3800","202504","11","12,000","2","개인","개인","1994","부일로11길 122","-","중개거래","서울 구로구","25.04.18"
"929","전라남도 진도군 진도읍 동외리","598","0598","0000","벧엘빌라","59.5800","72.7500","202504","11","7,800","4","개인","개인","2000","동외4길 51","-","중개거래","전남 진도군","25.04.30"
"930","경기도 화성시 병점동","345-89","0345","0089","태림빌라가,나동","57.7800","34.3720","202504","11","7,200","-1","개인","개인","1994","병점3로 40-2","-","직거래","-","25.04.14"
"931","서울특별시 구로구 개봉동","108-5","0108","0005","미림빌라가~라동(108-5)","56.0600","47.8000","202504","11","19,500","3","개인","개인","1982","고척로27길 99","-","중개거래","서울 구로구","-"
"932","경기도 화성시 봉담읍 와우리","70-4","0070","0004","시라맨숀","61.8300","86.0700","202504","11","16,200","3","법인","개인","1984","참샘길 26","-","중개거래","경기 화성시","-"
"933","대전광역시 서구 갈마동","304-2","0304","0002","대명빌라A동","59.8100","29.8100","202504","11","8,000","2","개인","개인","1993","신갈마로209번길 53","-","직거래","-","25.04.17"
"934","서울특별시 도봉구 창동","596-5","0596","0005","신도부테크(101동)","50.2100","25.2300","202504","11","18,500","5","개인","개인","2011","덕릉로59길 42","-","중개거래","경기 구리시","-"
"935","서울특별시 도봉구 도봉동","556-90","0556","0090","도봉산그린맨션","56.6700","44.0900","202504","11","19,000","1","개인","개인","2001","도봉산길 13-6","-","중개거래","서울 도봉구","-"
"936","서울특별시 도봉구 도봉동","613-26","0613","0026","미소지움","47.2200","28.5180","202504","11","28,500","4","개인","개인","2016","시루봉로27가길 3","-","중개거래","서울 도봉구","-"
"937","강원특별자치도 횡성군 우천면 우항리","758","0758","0000","동산","64.2150","56.4600","202504","11","5,500","1","개인","개인","1996","우항4길 15","-","직거래","-","25.04.15"
"938","경기도 화성시 송산면 사강리","599-4","0599","0004","청담빌리지2차다동","71.3700","57.5000","202504","11","17,900","2","개인","개인","2015","삼일공원로 76-4","-","중개거래","경기 화성시","-"
"939","서울특별시 강서구 화곡동","74-1","0074","0001","더라온","29.6300","19.5900","202504","11","23,900","3","개인","개인","2019","화곡로 245-4","-","중개거래","서울 강서구","25.04.14"
"940","서울특별시 강서구 화곡동","80-50","0080","0050","대림캐슬","39.0100","24.0000","202504","11","26,500","2","개인","개인","2017","화곡로43가길 23-2","-","중개거래","서울 강서구, 서울 중랑구","-"
"941","서울특별시 강서구 화곡동","1085-5","1085","0005","상아마이빌(1085-5)","49.8600","28.3600","202504","11","22,300","4","개인","개인","2007","강서로31길 83","-","중개거래","서울 강서구","-"
"942","서울특별시 강서구 화곡동","956-27","0956","0027","기린아트빌라","41.3200","21.6300","202504","11","16,100","1","개인","개인","1995","까치산로24길 9-42","-","중개거래","서울 강서구","25.04.18"
"943","서울특별시 강서구 화곡동","849-23","0849","0023","계명주택(849-23)","40.6400","22.3300","202504","11","21,500","2","개인","개인","2002","강서로10길 145","-","중개거래","서울 강서구","-"
"944","서울특별시 강서구 화곡동","362-135","0362","0135","남경쉐르빌(362-135)","47.7200","21.9900","202504","11","18,500","4","개인","개인","2001","월정로30나길 11","-","중개거래","서울 강서구","-"
"945","경기도 광주시 경안동","167-42","0167","0042","한솔파크빌A","75.8900","47.5000","202504","11","20,000","1","개인","개인","2002","문화로 67-1","-","중개거래","경기 광주시","25.04.14"
"946","경기도 광주시 송정동","275-7","0275","0007","주목샤넬카운티(209동)","44.1000","38.8560","202504","11","10,700","3","개인","개인","2011","중앙로 338-46","-","중개거래","경기 광주시","-"
"947","전라남도 여수시 웅천동","1866-1","1866","0001","포레나여수웅천더테라스2단지","84.8036","129.1570","202504","11","52,500","3","개인","개인","2020","웅천남1로 99","-","중개거래","전남 여수시","-"
"948","경기도 광주시 삼동","137","0137","0000","진흥연립","49.9100","50.5280","202504","11","7,750","4","개인","개인","1994","삼지곡길 84","-","중개거래","경기 광주시","-"
"949","경기도 광주시 신현동","393-5","0393","0005","용마신현타운(106동)","44.1600","37.4500","202504","11","10,000","4","개인","개인","1996","새말길 98","-","직거래","-","25.04.11"
"950","서울특별시 용산구 청파동1가","1-40","0001","0040","올림프스빌리지1-40)","60.4600","33.0600","202504","11","84,000","3","개인","개인","2010","청파로73나길 11","-","중개거래","서울 용산구","25.04.23"
"951","서울특별시 강서구 등촌동","719","0719","0000","719","37.0700","15.6040","202504","11","36,500","7","개인","개인","2015","등촌로 177","-","중개거래","서울 강서구","-"
"952","경기도 광주시 곤지암읍 곤지암리","311-9","0311","0009","행운빌라105동","69.7700","112.6830","202504","11","35,800","4","개인","개인","2022","경충대로493번길 45-37","-","직거래","-","-"
"953","서울특별시 양천구 신월동","419-1","0419","0001","벨로스신월","47.0400","28.8000","202504","11","25,000","5","개인","법인","2018","오목로1길 30","-","직거래","-","25.04.28"
"954","서울특별시 양천구 신월동","221-12","0221","0012","하이스트빌","58.8500","29.5700","202504","11","19,500","5","개인","개인","2012","남부순환로63길 16-3","-","중개거래","서울 양천구","-"
"955","서울특별시 양천구 신월동","974-13","0974","0013","강월빌라5차","37.4900","33.0000","202504","11","18,600","-1","개인","개인","1990","남부순환로70길 17-3","-","중개거래","서울 양천구","-"
"956","서울특별시 양천구 신월동","243-36","0243","0036","동도하이츠빌라(243-36)","53.2500","27.3500","202504","11","17,500","3","개인","개인","2002","월정로17길 25-1","-","직거래","-","25.04.18"
"957","서울특별시 양천구 신월동","155-4","0155","0004","석수빌","45.3200","23.8800","202504","11","9,900","5","개인","개인","2002","가로공원로56길 26","-","직거래","-","25.04.22"
"958","경기도 양주시 백석읍 방성리","692-6","0692","0006","금성아트빌라(가동)","49.1400","55.0833","202504","11","7,500","2","개인","개인","2000","중앙로93번길 122-5","-","중개거래","경기 양주시","-"
"959","서울특별시 양천구 목동","526-7","0526","0007","블르밍(526-7)","39.3300","24.7900","202504","11","33,500","2","개인","개인","2017","목동중앙북로16길 7-5","-","중개거래","서울 양천구","25.04.17"
"960","경기도 포천시 신읍동","369-2","0369","0002","원모루빌라","71.9300","67.5700","202504","11","7,200","1","개인","개인","1997","원모루로2길 10-14","-","중개거래","경기 포천시","25.04.30"
"961","경기도 포천시 가산면 마산리","417-1","0417","0001","제이파크빌","71.8500","63.2047","202504","11","28,000","3","개인","개인","2023","선마로 196","-","직거래","-","25.04.25"
"962","충청남도 당진시 석문면 삼봉리","921-39","0921","0039","황토마을","68.5050","83.2600","202504","11","8,300","2","개인","개인","2016","대호로 1585-3","-","직거래","-","25.04.11"
"963","경기도 포천시 신북면 기지리","882-1","0882","0001","전원빌라(882-1)","47.0200","49.0000","202504","11","2,300","1","개인","개인","1994","호국로2056번길 18","-","중개거래","경기 포천시","25.04.14"
"964","충청남도 당진시 채운동","142-2","0142","0002","당진정우","45.7600","67.7600","202504","11","4,000","1","개인","개인","1996","백암로 90-15","-","직거래","-","25.04.15"
"965","서울특별시 양천구 신정동","922-4","0922","0004","블루움","26.8800","15.6000","202504","11","32,800","3","개인","개인","2017","오목로 149-1","-","중개거래","서울 양천구","-"
"966","서울특별시 양천구 신정동","1219-2","1219","0002","국제아트빌(1219-2)","39.8400","17.5800","202504","11","59,400","3","개인","개인","2001","중앙로47길 52-13","-","중개거래","서울 양천구","-"
"967","충청남도 서산시 해미면 휴암리","129-4","0129","0004","휴먼빌","46.9930","69.8700","202504","11","2,800","4","개인","개인","2007","휴암2길 25-9","-","직거래","-","25.04.11"
"968","서울특별시 마포구 성산동","30-21","0030","0021","백송아트빌","32.2200","16.7400","202504","11","30,000","2","개인","개인","2017","성미산로5길 42","-","직거래","-","25.04.11"
"969","경기도 가평군 설악면 미사리","535-14","0535","0014","(535-14)","94.0600","111.0000","202504","11","15,000","4","개인","개인","2014","미사리로 707-321","-","직거래","-","25.04.11"
"970","경기도 가평군 청평면 청평리","308-1","0308","0001","청평빌라나동","37.4400","31.5800","202504","11","6,000","2","개인","개인","1990","톳골길 12","-","중개거래","경기 가평군","25.04.14"
"971","서울특별시 마포구 망원동","414-31","0414","0031","삼성씨티빌","49.4400","25.1000","202504","11","49,200","3","개인","개인","2005","포은로8길 42","-","중개거래","서울 마포구","-"
"972","서울특별시 마포구 망원동","454-29","0454","0029","동덕주택나동","82.7700","63.4600","202504","11","45,700","2","개인","개인","1983","희우정로 123","-","직거래","-","25.04.14"
"973","서울특별시 마포구 망원동","454-29","0454","0029","동덕주택나동","82.7700","63.4600","202504","11","41,500","2","개인","개인","1983","희우정로 123","20250423","직거래","-","-"
"974","서울특별시 마포구 망원동","397-26","0397","0026","정암빌라","31.6700","19.1375","202504","11","24,300","1","개인","개인","1991","망원로2길 70","-","중개거래","서울 마포구","-"
"975","서울특별시 은평구 갈현동","462-32","0462","0032","신풍아트빌B동","62.1900","36.2800","202504","11","34,500","3","개인","개인","2004","연서로21길 6-8","-","중개거래","서울 은평구","-"
"976","서울특별시 은평구 갈현동","462-32","0462","0032","신풍아트빌B동","62.1900","36.2800","202504","11","34,500","3","개인","개인","2004","연서로21길 6-8","-","중개거래","서울 은평구","-"
"977","경기도 수원시 팔달구 우만동","509-25","0509","0025","로드힐스(11,12동)","50.7700","31.6200","202504","11","24,000","4","개인","개인","2019","경수대로 654","-","직거래","-","25.04.17"
"978","경기도 이천시 단월동","106","0106","0000","센트랄맨션","59.8700","50.0900","202504","10","4,000","1","개인","개인","1997","단월로60번길 86","-","중개거래","경기 이천시","25.04.28"
"979","서울특별시 강동구 둔촌동","470-12","0470","0012","다원빌","34.3900","21.8200","202504","10","64,500","2","개인","개인","2017","양재대로100길 42","-","중개거래","서울 강동구","-"
"980","충청북도 청주시 상당구 용담동","89-26","0089","0026","아진빌","59.4100","68.2500","202504","10","10,500","1","개인","개인","2014","명암로 7-39","-","직거래","-","-"
"981","서울특별시 양천구 목동","537-11","0537","0011","더캐슬","28.0000","16.5200","202504","10","29,800","3","개인","개인","2015","목동중앙북로16가길 13","-","중개거래","서울 양천구","-"
"982","경기도 고양시 일산서구 가좌동","394-1","0394","0001","퍼스트캐슬2동","59.3900","48.5180","202504","10","46,000","4","개인","개인","2023","가좌4로 12-12","-","직거래","-","25.05.02"
"983","경기도 고양시 일산서구 일산동","2069","2069","0000","진성빌라3동","36.5300","20.7500","202504","10","8,300","2","개인","개인","1991","산현로92번길 3-9","-","중개거래","경기 고양시 일산서구","-"
"984","경상남도 김해시 삼정동","642-8","0642","0008","동방빌라","75.9750","46.9600","202504","10","7,800","3","개인","개인","1996","인제로39번길 48-14","-","중개거래","경남 김해시","25.04.24"
"985","경상남도 김해시 삼정동","210-66","0210","0066","로얄팰리스","74.5375","38.7110","202504","10","9,700","2","개인","개인","2011","활천로36번길 11-14","-","중개거래","경남 김해시","25.04.21"
"986","경기도 고양시 일산동구 풍동","1377","1377","0000","요진와이하우스101동-108동","39.9400","55.4400","202504","10","23,800","2","개인","개인","2013","무궁화로 255","-","중개거래","경기 고양시 일산동구","-"
"987","경상남도 양산시 남부동","369-1","0369","0001","카멜롯","45.8000","17.0212","202504","10","13,000","4","개인","법인","2017","남부10길 3","-","직거래","-","25.04.16"
"988","울산광역시 남구 달동","623-8","0623","0008","화성그린","52.2600","32.3320","202504","10","9,000","4","개인","개인","1991","삼산로143번길 17","-","직거래","-","25.04.14"
"989","서울특별시 금천구 시흥동","3-60","0003","0060","금강파크빌에이동","37.4600","31.8700","202504","10","23,000","4","개인","개인","2015","독산로50길 131","-","중개거래","서울 금천구","25.04.30"
"990","부산광역시 서구 동대신동2가","2-48","0002","0048","금수","58.5300","20.2500","202504","10","5,700","2","개인","개인","2006","중앙공원로11번길 10-7","-","직거래","-","25.04.15"
"991","서울특별시 도봉구 쌍문동","103-36","0103","0036","천보맨션","47.6400","29.0100","202504","10","21,000","3","개인","개인","1996","도봉로109길 35-17","-","중개거래","서울 도봉구","25.04.25"
"992","서울특별시 도봉구 쌍문동","137-160","0137","0160","하나뜨란채","56.5200","31.5550","202504","10","23,000","2","개인","개인","2011","노해로51길 16-4","-","중개거래","서울 도봉구","-"
"993","서울특별시 도봉구 쌍문동","508-24","0508","0024","청솔브레싱빌","51.7100","30.7800","202504","10","26,500","2","개인","개인","2012","삼양로 606-9","-","중개거래","서울 강북구","-"
