"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-03-15 ~ 2025-04-14"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"16","강원특별자치도 철원군 동송읍 이평리","7**","단독","8m미만","66.02","370.00","202504","14","9,600","개인","개인","1980","금학로157번안길","-","직거래","-"
"17","강원특별자치도 철원군 갈말읍 내대리","4**","단독","8m미만","48.82","322.00","202504","14","3,046","개인","개인","2013","두루미로","-","중개거래","강원 철원군"
"18","충청북도 제천시 영천동","2*","다가구","25m미만","657.48","438.00","202504","14","92,000","개인","개인","2014","동명로2가길","-","중개거래","충북 제천시"
"19","충청남도 논산시 대교동","2**","단독","8m미만","146.56","157.00","202504","14","14,900","개인","개인","1981","중앙로506번길","-","직거래","-"
"20","전라남도 목포시 산정동","1***","단독","12m미만","184.90","162.80","202504","14","17,700","개인","개인","1991","둥근섬로","-","중개거래","전남 목포시"
"21","부산광역시 부산진구 초읍동","1**","단독","8m미만","64.79","152.00","202504","14","36,500","개인","개인","1974","초읍천로77번길","-","중개거래","부산 부산진구"
"22","강원특별자치도 정선군 신동읍 천포리","2**","단독","8m미만","59.50","249.00","202504","14","3,000","기타","개인","1976","의림로","-","직거래","-"
"23","전라남도 목포시 양동","9*","단독","12m미만","79.34","112.00","202504","14","5,500","개인","개인","1942","호남로","-","중개거래","전남 목포시"
"24","부산광역시 사하구 신평동","9*","단독","8m미만","36.03","49.00","202504","14","11,000","공공기관","개인","1977","다대로135번길","-","중개거래","부산 사하구"
"25","부산광역시 수영구 민락동","1**","다가구","8m미만","216.71","117.00","202504","14","143,508","법인","개인","2005","광안로61번길","-","직거래","-"
"26","인천광역시 동구 만석동","2*","단독","12m미만","27.52","61.20","202504","14","7,000","개인","개인","1985","석수로","-","직거래","-"
"27","강원특별자치도 횡성군 둔내면 석문리","2**","단독","8m미만","131.89","1726.00","202504","14","10,743","개인","개인","","석문2길","-","직거래","-"
"28","경기도 수원시 장안구 연무동","1**","다가구","8m미만","154.82","97.00","202504","14","26,000","개인","개인","2015","수원천로414번길","-","중개거래","경기 수원시 장안구"
"29","강원특별자치도 횡성군 둔내면 석문리","1**","단독","8m미만","113.18","662.00","202504","14","16,500","개인","개인","2018","청태산로147번길","-","중개거래","강원 횡성군"
"30","강원특별자치도 홍천군 내면 자운리","5**","단독","8m미만","74.42","660.00","202504","14","5,203","개인","개인","2014","운두령로","-","직거래","-"
"31","서울특별시 강서구 방화동","6**","단독","8m미만","83.96","165.00","202504","14","111,029","법인","개인","1977","방화동로10길","-","직거래","-"
"32","강원특별자치도 홍천군 서면 팔봉리","9**","단독","8m미만","98.91","582.00","202504","14","2,514","개인","개인","2018","팔봉강변길","-","직거래","-"
"33","강원특별자치도 홍천군 서면 팔봉리","9**","단독","8m미만","98.91","582.00","202504","14","2,514","개인","개인","2018","팔봉강변길","-","직거래","-"
"34","경기도 수원시 팔달구 매향동","1*","단독","8m미만","48.40","116.00","202504","14","14,000","개인","개인","1969","창룡대로103번길","-","중개거래","경기 수원시 장안구, 경기 수원시 팔달구"
"35","강원특별자치도 홍천군 두촌면 천현리","3**","단독","8m미만","65.02","405.00","202504","14","7,770","개인","개인","2019","샘재길","-","중개거래","강원 홍천군"
"36","강원특별자치도 홍천군 두촌면 철정리","8*","단독","8m미만","197.82","650.00","202504","14","14,000","개인","개인","2005","부채들길","-","직거래","-"
"37","강원특별자치도 홍천군 홍천읍 와동리","1**","단독","8m미만","75.08","516.00","202504","14","4,500","개인","개인","1996","와동로219번길","-","직거래","-"
"38","강원특별자치도 삼척시 근덕면 매원리","1**","단독","8m미만","58.89","228.00","202504","14","20,700","개인","개인","1969","원평길","-","중개거래","대구 북구"
"39","부산광역시 동래구 안락동","1***","단독","8m미만","176.58","100.10","202504","14","22,800","개인","개인","1988","명안로46번라길","-","중개거래","부산 동래구"
"40","부산광역시 동래구 안락동","6**","단독","12m미만","142.78","134.00","202504","14","47,000","개인","개인","1978","연안로59번길","-","중개거래","부산 동래구"
"41","전라남도 순천시 조곡동","2**","단독","8m미만","26.22","76.00","202504","14","7,400","개인","개인","1985","율전2길","-","중개거래","전남 순천시"
"42","인천광역시 미추홀구 용현동","4**","단독","8m미만","152.61","72.70","202504","14","15,000","개인","개인","1983","인주대로153번길","-","중개거래","인천 미추홀구"
"43","부산광역시 남구 감만동","9*","단독","8m미만","20.83","113.00","202504","14","9,900","개인","개인","2001","우암로75번길","-","중개거래","부산 남구"
"44","전라남도 나주시 이창동","7*","단독","8m미만","69.00","119.00","202504","14","17,990","개인","개인","1983","","-","직거래","-"
"45","부산광역시 남구 감만동","9*","단독","8m미만","20.83","113.00","202504","14","10,000","개인","개인","2001","우암로75번길","-","중개거래","부산 남구"
"46","제주특별자치도 제주시 조천읍 함덕리","3***","단독","8m미만","73.80","423.00","202504","14","22,000","개인","개인","2024","함덕5길","-","직거래","-"
"47","제주특별자치도 제주시 조천읍 함덕리","1***","단독","8m미만","126.39","387.00","202504","14","55,500","개인","개인","1996","함덕8길","-","중개거래","제주 제주시"
"48","제주특별자치도 제주시 애월읍 고내리","1***","단독","8m미만","254.48","208.00","202504","14","62,500","개인","개인","2018","고내로7길","-","중개거래","제주 제주시"
"49","경상북도 상주시 냉림동","1**","단독","8m미만","121.41","172.00","202504","14","8,000","개인","개인","1980","냉림4길","-","직거래","-"
"50","경상북도 상주시 병성동","1**","단독","8m미만","86.61","1127.00","202504","14","12,400","개인","개인","1957","병성3길","-","직거래","-"
"51","경상남도 진주시 상봉동","2**","단독","8m미만","30.61","149.00","202504","14","4,500","개인","개인","1975","진주성로178번길","-","직거래","-"
"52","경상남도 통영시 정량동","3**","단독","8m미만","24.99","66.00","202504","14","1,000","개인","개인","1971","멘데2길","-","직거래","-"
"53","경상남도 통영시 정량동","1***","단독","25m미만","139.10","79.00","202504","14","24,000","개인","개인","1983","통영해안로","-","직거래","-"
"54","서울특별시 은평구 역촌동","*","단독","8m미만","168.30","118.00","202504","14","56,800","법인","개인","1991","연서로16길","-","직거래","-"
"55","경상남도 거제시 옥포동","5**","단독","12m미만","84.78","143.90","202504","14","14,200","개인","개인","1990","옥포대첩로1길","-","중개거래","경남 거제시"
"56","경상남도 하동군 하동읍 목도리","8**","단독","8m미만","66.15","213.00","202504","14","2,500","개인","개인","1954","부두길","-","직거래","-"
"57","경상남도 창원시 마산회원구 석전동","1**","단독","8m미만","67.82","116.00","202504","14","11,500","개인","개인","2003","석전북9길","-","중개거래","경남 창원시 마산회원구"
"58","제주특별자치도 제주시 도련이동","6**","단독","8m미만","69.05","430.00","202504","14","19,033","개인","개인","1930","매촌2길","-","중개거래","제주 제주시"
"59","경상남도 고성군 개천면 북평리","4**","단독","12m미만","79.34","334.00","202504","14","600","개인","개인","1965","연화산1로","-","직거래","-"
"60","경상남도 고성군 삼산면 장치리","6**","단독","8m미만","98.85","703.00","202504","14","35,000","개인","개인","2018","장치2길","-","직거래","-"
"61","경상남도 창원시 의창구 소계동","7**","단독","12m미만","73.40","123.50","202504","14","20,800","개인","개인","1985","소계로90번길","-","중개거래","경남 창원시 의창구"
"62","강원특별자치도 춘천시 효자동","3**","단독","8m미만","89.19","169.00","202504","14","19,000","개인","개인","1979","남춘천새길41번길","-","중개거래","강원 춘천시"
"63","강원특별자치도 원주시 우산동","1**","다가구","8m미만","265.41","264.70","202504","14","23,000","개인","개인","1997","진광길","-","중개거래","강원 원주시"
"64","서울특별시 강북구 수유동","5**","단독","12m미만","156.96","142.00","202504","14","59,500","개인","개인","1987","인수봉로55길","-","중개거래","서울 강북구"
"65","강원특별자치도 강릉시 포남동","1***","단독","12m미만","111.24","219.30","202504","14","22,600","개인","개인","1988","명륜로121번길","-","중개거래","강원 강릉시"
"66","경상남도 함안군 칠원읍 용정리","3**","단독","8m미만","83.84","380.00","202504","14","8,000","개인","개인","1990","석전1길","-","중개거래","경남 함안군"
"67","강원특별자치도 강릉시 병산동","4**","단독","8m미만","45.90","360.00","202504","14","17,000","개인","개인","2022","공항길20번길","20250429","중개거래","강원 강릉시"
"68","강원특별자치도 삼척시 남양동","3**","단독","8m미만","51.54","123.40","202504","14","30,060","법인","개인","1974","","-","중개거래","강원 삼척시"
"69","경상남도 의령군 용덕면 교암리","2**","단독","8m미만","99.72","660.00","202504","14","5,364","개인","개인","2001","소상로1길","-","직거래","-"
"70","경상남도 양산시 동면 금산리","1***","다가구","12m미만","303.78","199.00","202504","14","55,000","개인","개인","2014","금오7길","-","중개거래","경남 양산시"
"71","전북특별자치도 남원시 도통동","6**","다가구","12m미만","387.91","241.00","202504","14","65,000","개인","개인","2012","큰들1길","20250512","중개거래","전북 남원시"
"72","경상남도 거제시 남부면 갈곶리","2**","단독","8m미만","176.17","331.00","202504","14","20,700","개인","개인","2000","도장포3길","-","직거래","-"
"73","전북특별자치도 남원시 도통동","6**","다가구","12m미만","387.91","241.00","202504","14","65,000","개인","개인","2012","큰들1길","-","중개거래","전북 남원시"
"74","경상남도 밀양시 산내면 삼양리","3**","단독","8m미만","57.10","423.00","202504","14","10,000","개인","법인","2023","산내로","-","직거래","-"
"75","광주광역시 서구 유촌동","8**","다가구","12m미만","316.56","175.20","202504","14","57,500","개인","개인","2000","유림로33번길","-","중개거래","광주 서구"
"76","경상남도 김해시 대동면 예안리","8**","단독","8m미만","37.20","302.00","202504","14","17,000","개인","개인","","대동로417번길","-","직거래","-"
"77","충청남도 천안시 동남구 원성동","5**","단독","8m미만","60.00","159.50","202504","14","18,500","개인","개인","1974","원거리13길","-","중개거래","충남 천안시 동남구"
"78","경기도 안산시 상록구 사동","1***","다가구","25m이상","576.65","289.40","202504","14","100,000","개인","개인","1996","댕이길","-","중개거래","경기 안산시 상록구"
"79","경상남도 사천시 곤양면 맥사리","3**","단독","8m미만","85.94","312.00","202504","14","8,000","개인","개인","1978","숯골길","-","중개거래","경남 사천시"
"80","경상남도 사천시 사천읍 구암리","3**","단독","8m미만","37.36","582.00","202504","14","4,200","개인","개인","1924","구암1길","-","직거래","-"
"81","경상남도 통영시 광도면 덕포리","7**","단독","8m미만","64.70","330.00","202504","14","11,000","개인","개인","1970","창포길","-","직거래","-"
"82","경기도 용인시 기흥구 보라동","5**","다가구","12m미만","347.58","228.00","202504","14","100,000","개인","개인","2010","한보라2로28번길","-","중개거래","경기 용인시 기흥구"
"83","경상남도 진주시 명석면 외율리","1**","단독","8m미만","106.05","351.00","202504","14","10,800","개인","개인","1998","외율길10번길","-","중개거래","경남 진주시"
"84","경상남도 진주시 집현면 신당리","5**","단독","8m미만","31.04","256.00","202504","14","6,100","개인","개인","1951","불너머길115번길","-","중개거래","경남 진주시"
"85","부산광역시 기장군 철마면 임기리","6**","단독","8m미만","122.65","122.00","202504","14","15,000","개인","개인","1994","임기1길","-","중개거래","부산 기장군"
"86","경기도 용인시 수지구 죽전동","1***","단독","8m미만","420.29","830.00","202504","14","276,100","법인","개인","2006","용구대로2753번길","-","중개거래","경기 용인시 수지구"
"87","경기도 용인시 처인구 역북동","2**","단독","8m미만","238.59","325.00","202504","14","69,564","개인","법인","2024","성산로","-","직거래","-"
"88","충청북도 청주시 흥덕구 봉명동","1***","단독","8m미만","199.56","212.60","202504","14","25,000","개인","개인","1987","과상미로10번길","-","직거래","-"
"89","울산광역시 울주군 온산읍 덕신리","2**","다가구","25m미만","399.81","226.00","202504","14","55,000","개인","개인","2010","원신온길","-","중개거래","울산 남구, 울산 울주군"
"90","서울특별시 송파구 방이동","2**","단독","12m미만","978.78","350.10","202504","14","760,000","개인","개인","1991","위례성대로18길","-","중개거래","서울 송파구"
"91","울산광역시 울주군 서생면 화정리","5**","단독","8m미만","65.30","240.00","202504","14","16,700","개인","개인","2015","술마길","-","직거래","-"
"92","경기도 부천시 원미구 도당동","2**","단독","8m미만","157.68","148.10","202504","14","50,000","개인","개인","1983","옥산로162번길","-","중개거래","경기 부천시 원미구"
"93","경기도 평택시 안중읍 덕우리","1**","단독","8m미만","133.14","351.00","202504","14","18,254","개인","법인","2022","안중북로","-","직거래","-"
"94","경기도 평택시 안중읍 덕우리","1**","단독","8m미만","120.07","319.00","202504","14","18,536","개인","법인","2022","안중북로","-","직거래","-"
"95","경상북도 성주군 성주읍 예산리","5**","단독","8m미만","81.99","215.00","202504","14","15,000","개인","개인","1990","예산3길","-","중개거래","경북 성주군"
"96","경기도 남양주시 와부읍 팔당리","1**","단독","8m미만","1171.57","330.00","202504","14","100,000","법인","개인","2007","팔당로139번길","-","중개거래","경기 남양주시"
"97","경기도 남양주시 수동면 입석리","1**","단독","8m미만","94.05","735.00","202504","14","71,523","개인","개인","1983","남가로","-","중개거래","경기 남양주시"
"98","경상북도 고령군 쌍림면 고곡리","1**","단독","8m미만","72.72","248.00","202504","14","7,000","개인","개인","1945","칠등길","-","중개거래","대구 달성군"
"99","경기도 안양시 만안구 석수동","3**","단독","8m미만","333.39","190.80","202504","14","105,000","개인","개인","1990","석수로26번길","-","중개거래","경기 안양시 만안구"
"100","경상북도 청도군 금천면 오봉리","5**","단독","8m미만","20.00","328.00","202504","14","10,000","개인","개인","2005","새재길","-","중개거래","경북 청도군"
"101","경상북도 청도군 이서면 문수리","2*","단독","8m미만","84.50","378.00","202504","14","29,800","개인","개인","2021","철담길","-","직거래","-"
"102","경상북도 청도군 화양읍 진라리","2**","단독","8m미만","26.78","344.00","202504","14","10,300","개인","개인","1958","진라2길","-","중개거래","경북 청도군"
"103","경상북도 영덕군 축산면 경정리","6**","단독","8m미만","72.70","327.00","202504","14","10,000","개인","개인","1949","경정3길","-","중개거래","경북 영덕군"
"104","광주광역시 북구 용봉동","6**","다가구","8m미만","587.20","361.00","202504","14","91,800","개인","개인","2001","설죽로148번길","-","중개거래","광주 광산구"
"105","경상북도 의성군 다인면 송호리","1***","단독","8m미만","97.92","989.00","202504","14","7,200","개인","개인","2003","시말길","-","직거래","-"
"106","광주광역시 북구 오치동","7**","다가구","12m미만","560.42","420.00","202504","14","128,000","개인","개인","2013","우치로241번길","-","중개거래","광주 서구"
"107","경기도 파주시 적성면 마지리","4**","단독","8m미만","102.62","454.00","202504","14","19,000","개인","개인","2008","적서초교길","-","직거래","-"
"108","경상북도 의성군 금성면 개일리","3**","단독","8m미만","50.49","495.00","202504","14","6,400","개인","개인","1997","개일길","-","중개거래","대구 군위군"
"109","경상북도 의성군 금성면 제오리","7**","단독","8m미만","292.01","675.00","202504","14","8,000","개인","개인","1993","탑운길","-","직거래","-"
"110","경상북도 의성군 금성면 탑리리","8**","단독","8m미만","126.58","643.00","202504","14","6,000","개인","개인","2019","금성산길","-","직거래","-"
"111","경기도 안성시 공도읍 마정리","1**","다가구","8m미만","492.18","474.00","202504","14","148,000","개인","개인","1900","산책길","-","중개거래","경기 안성시"
"112","광주광역시 광산구 수완동","9**","단독","8m미만","369.33","319.50","202504","14","151,000","개인","개인","2017","장덕로","-","중개거래","광주 광산구"
"113","경기도 안성시 금광면 오흥리","6*","단독","8m미만","146.32","562.00","202504","14","30,000","개인","개인","1900","금광모산길","-","중개거래","경기 안성시"
"114","경상북도 영주시 봉현면 대촌리","6**","단독","8m미만","44.00","150.00","202504","14","605","개인","개인","2003","소백로1623번길","-","직거래","-"
"115","경상북도 영주시 풍기읍 금계리","4**","단독","8m미만","186.21","623.00","202504","14","30,000","개인","법인","2014","무릉길","-","중개거래","경북 영주시"
"116","충청북도 청주시 흥덕구 옥산면 오산리","5**","단독","12m미만","78.54","229.00","202504","14","28,000","개인","개인","1990","옥산시내3길","-","직거래","-"
"117","경상북도 안동시 도산면 단천리","3**","단독","8m미만","45.36","278.00","202504","14","3,500","개인","개인","1998","단사길","-","직거래","-"
"118","경상북도 안동시 풍천면 갈전리","1***","단독","12m미만","73.50","364.10","202504","14","38,000","개인","개인","2017","풍요4길","-","직거래","-"
"119","경기도 화성시 마도면 청원리","1**","단독","8m미만","79.57","204.00","202504","14","25,000","개인","개인","1992","마도로507번길","-","중개거래","경기 화성시"
"120","경상북도 안동시 북후면 오산리","2**","단독","8m미만","55.20","370.00","202504","14","2,500","개인","개인","1910","오산대추길","-","중개거래","경북 안동시"
"121","서울특별시 동대문구 전농동","1**","다가구","8m미만","113.37","83.00","202504","14","85,000","개인","개인","1995","전농로27길","-","중개거래","서울 동대문구"
"122","경상남도 창원시 진해구 여좌동","9*","단독","8m미만","108.58","135.40","202504","14","12,000","개인","개인","1985","여명로","-","중개거래","경남 창원시 진해구"
"123","경상북도 김천시 감천면 금송리","7**","단독","8m미만","84.05","92.00","202504","14","1,000","개인","개인","1900","금송3길","-","직거래","-"
"124","경상북도 경주시 산내면 내칠리","1***","단독","8m미만","137.60","962.00","202504","14","12,500","개인","개인","2001","산저길","-","중개거래","경북 영천시"
"125","경상북도 경주시 양남면 서동리","3**","단독","8m미만","138.33","661.00","202504","14","20,000","개인","개인","2017","서동길","-","직거래","-"
"126","대전광역시 동구 대동","4**","단독","8m미만","170.04","156.40","202504","14","34,000","개인","개인","1995","대동로20번길","-","중개거래","대전 동구"
"127","경상남도 창원시 성산구 중앙동","1*","단독","12m미만","220.88","251.00","202504","14","45,000","개인","개인","1989","외동반림로126번길","-","직거래","-"
"128","전북특별자치도 전주시 완산구 남노송동","1**","단독","8m미만","48.72","166.00","202504","14","10,600","개인","개인","1973","마당재2길","-","중개거래","전북 전주시 완산구"
"129","전북특별자치도 전주시 완산구 동서학동","3**","단독","8m미만","83.51","205.00","202504","14","11,700","개인","개인","1977","학봉1길","-","직거래","-"
"130","전라남도 장성군 삼서면 우치리","3**","단독","8m미만","119.42","999.00","202504","14","9,300","개인","개인","1951","우치2길","-","중개거래","광주 광산구"
"131","전라남도 장성군 장성읍 영천리","1***","단독","8m미만","99.73","128.00","202504","14","18,000","법인","개인","1994","청운2길","-","중개거래","전남 장성군"
"132","전라남도 영광군 염산면 축동리","9**","단독","8m미만","150.00","840.00","202504","14","6,000","개인","개인","1990","봉덕로4길","-","직거래","-"
"133","경기도 가평군 설악면 묵안리","3**","단독","8m미만","21.00","332.00","202504","14","3,700","개인","개인","2014","묵안로902번길","-","직거래","-"
"134","경기도 양평군 양평읍 백안리","5**","다가구","8m미만","546.30","582.00","202504","14","85,000","기타","개인","2014","은행길","-","중개거래","경기 양평군"
"135","경기도 양평군 옥천면 용천리","9**","단독","8m미만","120.81","730.00","202504","14","50,730","개인","개인","2017","마유산로478번안길","-","중개거래","경기 양평군"
"136","전라남도 해남군 황산면 부곡리","7**","단독","8m미만","130.52","334.00","202504","14","5,000","개인","개인","1995","명량로","-","직거래","-"
"137","전북특별자치도 전주시 완산구 효자동1가","5**","단독","8m미만","183.39","213.10","202504","14","21,500","개인","개인","1988","송정로","-","중개거래","전북 전주시 완산구"
"138","전라남도 해남군 북평면 영전리","2**","단독","8m미만","66.24","360.00","202504","14","7,500","개인","개인","1993","남전길","-","직거래","-"
"139","전라남도 해남군 북평면 영전리","2**","단독","8m미만","66.24","360.00","202504","14","7,500","개인","개인","1993","남전길","20250428","직거래","-"
"140","전라남도 해남군 삼산면 창리","6**","단독","8m미만","94.11","403.00","202504","14","8,300","개인","개인","2000","용두길","-","중개거래","전남 해남군"
"141","충청북도 영동군 영동읍 계산리","6**","단독","8m미만","105.48","146.70","202504","14","23,500","개인","개인","2010","영동천2길","-","직거래","-"
"142","전라남도 보성군 조성면 봉능리","5**","단독","8m미만","124.50","1069.00","202504","14","3,000","개인","개인","1950","신방길","-","직거래","-"
"143","충청북도 증평군 증평읍 신동리","2**","다가구","8m미만","585.15","309.00","202504","14","55,000","개인","개인","2015","아랫장뜰길","-","직거래","-"
"144","전라남도 고흥군 대서면 송강리","8**","단독","8m미만","44.62","374.00","202504","14","2,000","개인","개인","1977","돈산정길","-","직거래","-"
"145","전라남도 고흥군 점암면 연봉리","2**","단독","8m미만","93.00","651.00","202504","14","8,300","개인","개인","2010","봉북길","-","중개거래","전남 고흥군"
"146","서울특별시 성동구 금호동3가","1**","단독","8m미만","163.17","136.90","202504","14","95,000","개인","개인","1970","무수막1길","-","직거래","-"
"147","충청북도 진천군 덕산읍 두촌리","3***","단독","12m미만","127.59","497.80","202504","14","60,000","개인","개인","2019","여안3길","-","중개거래","충북 진천군"
"148","전라남도 곡성군 죽곡면 고치리","3**","단독","8m미만","30.00","281.00","202504","14","1,900","개인","개인","1949","고치길","-","직거래","-"
"149","충청북도 진천군 문백면 봉죽리","5*","단독","8m미만","260.10","1443.00","202504","14","19,500","개인","개인","2015","봉죽1안길","-","직거래","-"
"150","충청북도 음성군 생극면 송곡리","4**","단독","8m미만","199.79","800.00","202504","14","15,000","개인","개인","2003","송곡길","-","중개거래","충북 음성군"
"151","전라남도 담양군 봉산면 대추리","2**","단독","8m미만","72.00","436.00","202504","14","10,000","개인","개인","1933","대추1길","-","중개거래","광주 북구"
"152","전라남도 담양군 담양읍 반룡리","7**","단독","8m미만","51.56","278.00","202504","14","4,700","개인","개인","1959","용주길","-","직거래","-"
"153","충청남도 공주시 계룡면 양화리","5**","단독","12m미만","118.26","520.00","202504","14","21,100","개인","개인","2005","신원사로","-","중개거래","세종"
"154","전라남도 순천시 상사면 쌍지리","1**","단독","8m미만","42.60","467.00","202504","14","3,500","개인","개인","1939","어은길","-","직거래","-"
"155","광주광역시 남구 대지동","6**","단독","8m미만","79.04","792.00","202504","14","23,000","개인","개인","2008","등룡산1길","-","중개거래","광주 서구"
"156","충청남도 보령시 웅천읍 관당리","7**","단독","8m미만","61.14","271.00","202504","14","18,500","개인","개인","1990","무챙이1길","-","직거래","-"
"157","전라남도 여수시 율촌면 월산리","1***","단독","12m미만","2127.94","1927.00","202504","14","95,000","개인","개인","1998","청대길","-","직거래","-"
"158","충청남도 보령시 청라면 내현리","8*","단독","8m미만","41.12","340.00","202504","14","3,800","개인","개인","1990","안골길","-","중개거래","충남 보령시"
"159","충청남도 아산시 둔포면 봉재리","1**","단독","8m미만","95.16","330.00","202504","14","10,506","법인","개인","1997","봉신로","-","중개거래","경기 평택시"
"160","충청남도 아산시 영인면 아산리","3**","단독","8m미만","99.90","909.00","202504","14","12,000","개인","개인","1995","아산리서길","-","직거래","-"
"161","충청남도 예산군 오가면 신원리","3**","단독","8m미만","162.84","469.00","202504","14","12,000","개인","개인","2001","신원길","-","직거래","-"
"162","충청남도 서산시 해미면 대곡리","5**","다가구","8m미만","377.40","415.90","202504","14","24,500","개인","개인","1997","대곡원터길","-","직거래","-"
"163","대전광역시 유성구 학하동","7**","단독","12m미만","330.75","409.50","202504","14","110,000","법인","개인","2018","학하중앙로167번길","-","중개거래","대전 유성구"
"164","대전광역시 유성구 지족동","9**","다가구","12m미만","332.68","212.00","202504","14","74,700","개인","개인","2011","지족로349번길","-","중개거래","대전 유성구"
"165","충청남도 천안시 서북구 성환읍 율금리","2**","단독","8m미만","211.20","189.50","202504","14","8,500","개인","개인","1991","양당율금길","-","직거래","-"
"166","충청남도 부여군 은산면 가곡리","4**","단독","8m미만","97.20","529.00","202504","14","1,500","개인","개인","1925","매화로","-","직거래","-"
"167","전북특별자치도 고창군 성송면 무송리","4**","단독","8m미만","63.00","531.00","202504","14","11,650","개인","개인","2018","대성로","-","중개거래","광주 남구"
"168","전북특별자치도 고창군 상하면 하장리","8**","단독","8m미만","99.60","586.00","202504","14","11,200","개인","개인","1996","상하로","-","직거래","-"
"169","충청남도 부여군 임천면 비정리","3**","단독","8m미만","86.98","453.00","202504","14","13,500","개인","개인","2002","충절로703번길","-","중개거래","충남 부여군"
