"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-05-11 ~ 2025-05-10"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"67","서울특별시 송파구 문정동","8*","다가구","8m미만","149.88","94.20","202504","18","119,607","공공기관","개인","1994","새말로8길","-","직거래","-"
"68","서울특별시 영등포구 양평동3가","9*","단독","12m미만","1091.32","275.00","202504","18","390,000","개인","개인","2010","선유로43나길","-","중개거래","서울 관악구"
"69","서울특별시 관악구 봉천동","1*","단독","8m미만","72.33","106.00","202504","18","85,000","개인","개인","1973","청림2길","-","중개거래","서울 관악구"
"70","서울특별시 성동구 성수동2가","2**","단독","12m미만","152.14","122.00","202504","18","296,000","개인","개인","1975","둘레길","-","중개거래","서울 성동구, 서울 용산구"
"71","서울특별시 성북구 종암동","2*","단독","8m미만","33.05","10.00","202504","18","9,000","개인","개인","1989","회기로3가길","-","중개거래","서울 동대문구"
"72","서울특별시 용산구 한강로3가","6*","단독","8m미만","40.03","89.20","202504","17","194,000","개인","개인","1959","한강대로14가길","-","중개거래","서울 용산구"
"73","서울특별시 강북구 미아동","4*","단독","8m미만","205.79","139.00","202504","17","58,800","개인","개인","1989","월계로13길","-","직거래","-"
"74","서울특별시 영등포구 신길동","4**","다가구","12m미만","179.82","115.00","202504","17","117,443","공공기관","개인","1995","신길로15길","-","직거래","-"
"75","서울특별시 성동구 성수동1가","4**","단독","12m미만","196.00","155.00","202504","17","385,000","개인","개인","1990","둘레7길","-","중개거래","서울 성동구"
"76","서울특별시 성동구 성수동2가","3**","단독","8m미만","84.86","60.00","202504","17","230,000","개인","개인","1970","성수이로","-","중개거래","서울 성동구"
"77","서울특별시 서대문구 북아현동","1**","단독","8m미만","164.22","62.50","202504","17","74,000","개인","개인","1989","북아현로11가길","-","중개거래","서울 서대문구"
"78","서울특별시 광진구 자양동","2**","다가구","8m미만","233.41","116.00","202504","17","108,000","개인","개인","2002","아차산로46나길","-","중개거래","서울 광진구"
"79","서울특별시 동대문구 장안동","1**","단독","8m미만","76.06","109.00","202504","17","67,300","개인","개인","1971","답십리로63길","-","중개거래","서울 동대문구"
"80","서울특별시 성북구 안암동1가","1**","단독","8m미만","63.60","139.80","202504","17","72,500","개인","개인","1989","고려대로11길","-","중개거래","서울 성북구"
"81","서울특별시 동작구 본동","1**","단독","8m미만","299.73","140.00","202504","17","382,100","기타","개인","1992","노량진로22길","-","직거래","-"
"82","서울특별시 성북구 하월곡동","8*","단독","8m미만","232.13","92.00","202504","17","197,000","개인","개인","1995","동소문로42나길","-","중개거래","서울 성북구"
"83","서울특별시 관악구 신림동","2**","단독","8m미만","143.30","99.00","202504","16","55,000","개인","개인","1974","대학12길","-","중개거래","서울 관악구"
"84","서울특별시 서초구 원지동","4**","단독","8m미만","226.32","331.00","202504","16","222,179","기타","법인","1995","원터길","-","직거래","-"
"85","서울특별시 동대문구 장안동","1**","다가구","8m미만","163.86","99.00","202504","16","56,000","개인","개인","2003","한천로14길","-","중개거래","서울 동대문구"
"86","서울특별시 관악구 신림동","1***","다가구","8m미만","414.20","179.50","202504","16","130,000","개인","개인","1996","신림로17길","-","중개거래","서울 관악구"
"87","서울특별시 마포구 망원동","4**","다가구","12m미만","232.36","124.00","202504","16","220,000","개인","개인","2019","망원로6길","-","중개거래","서울 마포구"
"88","서울특별시 종로구 평창동","4**","단독","12m미만","244.43","353.00","202504","16","210,000","개인","개인","1981","평창길","-","중개거래","서울 용산구"
"89","서울특별시 강북구 수유동","3**","단독","8m미만","125.58","90.00","202504","16","35,500","개인","개인","1989","삼양로111길","-","직거래","-"
"90","서울특별시 양천구 목동","1**","단독","8m미만","286.22","265.00","202504","16","190,000","법인","개인","1989","목동중앙로13다길","-","중개거래","서울 양천구"
"91","서울특별시 광진구 자양동","5**","단독","8m미만","103.83","106.00","202504","15","144,000","개인","개인","1971","뚝섬로30길","-","중개거래","서울 광진구"
"92","서울특별시 송파구 잠실동","3**","단독","8m미만","911.18","348.70","202504","15","520,000","법인","개인","1991","백제고분로20길","-","중개거래","서울 송파구"
"93","서울특별시 광진구 군자동","3**","다가구","8m미만","386.82","167.00","202504","15","240,000","개인","법인","2022","광나루로13길","-","중개거래","서울 광진구"
"94","서울특별시 중구 신당동","3**","단독","8m미만","49.59","66.00","202504","15","120,000","개인","개인","1959","다산로28나길","-","중개거래","서울 동대문구, 서울 중구"
